pattern,regex,complexity,active
BI Sx:Sx,^BI ([0-9A-Z]+):([0-9A-Z-]+)$,1,1
RI Sx/Sx,^RI ([0-9A-Z]+)/([0-9A-Z-]+)$,1,1
HO Sx/Sx/Sx,^HO ([0-9A-Z]+)/([0-9A-Z]+)/([0-9A-Z]+)$,1,1
SK Sx:Sx,^SK ([0-9A-Z-]+):([0-9A-Z]+)$,1,1
Dx-Dx-Dx-Dx-Dx-Dx.Dx,^([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)\.([0-9]+)$,1,1
Sx-Sx--Sx,^([0-9A-Z]+)-([0-9A-Z]+)--([0-9A-Z-]+)$,1,1
Sx Sx-Sx--Sx,^([0-9A-Z]+) ([0-9A-Z]+)-([0-9A-Z]+)--([0-9A-Z-/]+)$,1,1
Sx:Sx:Sx,^([0-9A-Z]+):([0-9A-Z]+):([0-9A-Z]+)$,1,1
Sx-Sx-Sx-Sx-Sx-Sx-Sx Sx-Sx-Sx,^([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+) ([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)$,1,1
Sx Sx Sx( Sx)( Sx),^([0-9A-Z]+) +([0-9A-Z]+) +([0-9A-Z]+)(?: +([0-9A-Z]+))?(?: +([0-9A-Z]+))?$,1,1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),^([0-9A-Z]+) *- *([0-9A-Z]+)?(?: *- *([0-9A-Z]+))?(?:-([A-Z]+))?(?: ([0-9]+))?$,1,1
Sx Sx  Sx(  Sx),"^([0-9A-Z]+) +([0-9A-Z]+) {2,}([0-9A-Z]+)(?: {2,}([0-9A-Z]+))?",1,1
S2-S2-S3:S3,^([0-9A-Z]{2})-([0-9A-Z]{2})-([0-9A-Z]{3}):([0-9A-Z]{3})$,1,1
S2-D1.D1-D2-D3.D1-D2-D3.D2,^([0-9A-Z]{2})-([0-9]{1})\.([0-9]{1})-([0-9]{2})-([0-9]{3})\.([0-9]{1})-([0-9]{2})-([0-9]{3})\.([0-9]{2})$,1,1
D2.D4.D2.D2.D4.D4,^([0-9]{2})\.([0-9]{4})\.([0-9]{2})\.([0-9]{2})\.([0-9]{4})\.([0-9]{4})$,1,1
D4.D2.D2.D4.D4,^([0-9]{4})\.([0-9]{2})\.([0-9]{2})\.([0-9]{4})\.([0-9]{4})$,1,1
D4.D2.D2.S7,^([0-9]{4})\.([0-9]{2})\.([0-9]{2})\.([0-9A-Z]{7})$,1,1
D3.D1.D4.D3.D4,^([0-9]{3})\.([0-9]{1})\.([0-9]{4})\.([0-9]{3})\.([0-9]{4})$,1,1
D3-D2-D2-D4.D2(-D5),^([0-9]{3})-([0-9]{2})\.([0-9]{2})-([0-9]{4})\.([0-9]{2})(?:-([0-9]{5}))?,1,1
D3-Dx.D2-Dx.D2,^([0-9]{3})-([0-9]+)\.([0-9]{2})-([0-9]+)\.([0-9]{2})$,1,1
D1-D2-D3.D2-D2-D2.D2-(D3),^([0-9]{1})-([0-9]{2})-([0-9]{3})\.([0-9]{2})-([0-9]{2})-([0-9]{2})\.([0-9]{2})-([0-9]{3})?,1,1
Sx.,^([0-9A-Z]+)\.$,1,1
S3-D4-D4.D1-D4.D2,^([0-9A-Z]{3})-([0-9]{4})-([0-9]{4})\.([0-9]{1})-([0-9]{4})\.([0-9]{2})$,1,1
D3-D7.D3,^([0-9]{3})-([0-9]{7})\.([0-9]{3})$,1,1
S2-S2/S3-S3,^([0-9A-Z]{2})-([0-9A-Z]{2})/([0-9A-Z]{3})-([0-9A-Z]{3})$,1,1
S3/D3-S3,^([0-9A-Z]{3})/([0-9]{3})-([0-9A-Z]{3})$,1,1
S4>D2>S4,^([0-9A-Z]{4})>([0-9]{2})>([0-9A-Z]{4})$,1,1
D2/D3-S3,^([0-9]{2})/([0-9]{3})-([0-9A-Z]{3})$,1,1
D2/D3-D2,^([0-9]{2})/([0-9]{3})-([0-9]{2})$,1,1
D2/D3-D1,^([0-9]{2})/([0-9]{3})-([0-9]{1})$,1,1
D2-D2-S4-D4.D4(D3),^([0-9]{2})-([0-9]{2})-([0-9A-Z ]{4})-([0-9]{4})\.([0-9]{4})(?:[0-9 ]{3})?,1,1
D2-D2-S4-D4-D4-D4,^([0-9]{2})-([0-9]{2})-([0-9A-Z ]{4})-([0-9]{4})-([0-9]{4})-([0-9]{4})?,1,1
D3 D3(A) (A) D5(A)(D3) D4,"^([0-9]{3}) ([0-9]{3}[A-Z]?) {1,2}([A-Z]?) {1,2}([0-9]{5})([A-Z ])([0-9]{3}) ([0-9]{4})$",4,1
D6(A) (A) D5(A)(D3)( D2),"^([0-9]{6}[A-Z]?) {1,2}([A-Z]?) {1,2}([0-9]{5})([A-Z ])?([0-9]{3})?(?: ([0-9]{2}))?$",4,1
D3(A) (A) D5(A)(D3)( D2),"^([0-9]{3}[A-Z]?) {1,2}([A-Z]?) {1,2}([0-9]{5})([A-Z ])?([0-9]{3})?(?: ([0-9]{2}))?$",4,1
D3-D2-D2-D3.,^([0-9]{3})-([0-9]{2})-([0-9]{2})-([0-9]{3})\.$,3,1
D3-D2-D2-D3.(D2),^([0-9]{3})-([0-9]{2})-([0-9]{2})-([0-9]{3})(?:\.([0-9]{2}))?$,4,1
S3-Sx( )-( S1)-(A1 )-D5(-A),"^([A-Z0-9]{3})-([0-9A-Z]{2,3}) ?- ?(?:[0-9A-Z]{1})?-([A-Z])? ?-([0-9]{5})(?:(-))?([A-Z]{1})?$",1,1
D5_Sx / Dx( -)Sx( / -S2),"^07080_([A-Z][0-9]{1,2}) / ([0-9]{1,2}) ?-?([A-Z0-9]{1,3})? ?/? ?-?([0-9A-Z]{1,2})?$",1,1
D2.D2.D3.D3,^([0-9]{2})\.([0-9]{2})\.([0-9]{3})\.([0-9]{3})$,1,1
Sx( )-Sx-Sx-Sx-Sx-( Sx),^([0-9A-Z]+) ?-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)(?: ([0-9A-Z]+))?$,1,1
D2.D2.D2.D6,^([0-9]{2})\.([0-9]{2})\.([0-9]{2})\.([0-9]{6})$,1,1
S3.D2.D2.D3.D3,^([A-Z0-9]{3})\.([0-9]{2})\.([0-9]{2})\.([0-9]{3})\.([0-9]{3})$,1,1
D3-(S1)D3-D3.D2,^([0-9]{3})-.([0-9]{3})-([0-9]{3})\.([0-9]{2})$,1,1
D3/D5-D3-D3,^([0-9]{3})/([0-9]{5})-([0-9]{3})-([0-9]{3})$,1,1
D4.S5.Sx-(-)S9,"^([0-9]{4})\.([0-9A-Z]{5})\.([0-9A-Z]{7,8})--?([0-9A-Z]{9})$",1,1
sx-(s3_)D5,"^([0-9a-z]{5,9})-([0-9a-z]{3})?_?([0-9]{5})$",1,1
D2-D2-D2-D2-S5.S4( D2),^([0-9]{2})-([0-9]{2})-([0-9]{2})-([0-9A-Z]{2})-([0-9A-Z]{5})\.([0-9A-Z]{4}) ?(?:([0-9]{2}))?$,1,1
D2-D2-D2-D4-D3.D1-D3.D1,^([0-9]{2})-([0-9]{2})-([0-9]{2})-([0-9]{4})-([0-9]{3})\.([0-9]{1})-([0-9]{3})\.([0-9]{1})$,1,1
D4(A1)[-  ]Sx,"^([0-9]{4})(?:([A-Z]{1}))?(-|  | )([0-9A-Z]{3,4})$",1,1
S1D4[S1 ]D3(S1),^R([0-9]{4})(([A-Z]{1})| )([0-9]{3})([A-Z]{1})?$,1,1
A1D2([A1 ])-   -D3([A1 ])-(Sx),"^([A-Z]{1})([0-9]{2})(([A-Z]){1}| )-   -([0-9]{3})(([A-Z]{1})| ) -([0-9A-Z]{1,2})?$",1,1
D4-D2-D2-D3(. D2),^([0-9]{4})-([0-9]{2})-([0-9]{2})-([0-9]{3})(?:(\.))? ?([0-9]{2})?$,1,1
D2-D4[A1 ]-D3.D2.D2,^([0-9]{2})-([0-9]{4})([A-Z]{1}| )-([0-9]{3})\.([0-9]{2})\.([0-9]{2})$,1,1
Sx.Sx.(Sx.)Sx,"^([0-9A-Z]{1,4})\.([0-9A-Z]{1,2})\.([0-9A-Z]{1,2}\.)?([0-9A-Z]{1,5})$",1,1
